C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_52_766.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_52_766.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_52_766.jpg, 0, 0, 0, 7.864465E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_52_870.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_52_870.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_52_870.jpg, 0, 0, 0, 7.825369E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_52_975.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_52_975.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_52_975.jpg, 0, 0, 0, 7.790999E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_077.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_077.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_077.jpg, 0, 0, 0, 7.888092E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_181.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_181.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_181.jpg, 0, 0, 0, 7.900598E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_283.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_283.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_283.jpg, 0, 0, 0, 8.174352E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_388.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_388.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_388.jpg, 0, 0, 0, 7.8181E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_490.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_490.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_490.jpg, 0, 0, 0, 7.837301E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_592.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_592.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_592.jpg, 0, 0, 0, 7.874666E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_693.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_693.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_693.jpg, 0, 0, 0, 8.011018E-05
C:\Users\Kriszace\Desktop\Data\IMG\center_2019_07_06_14_52_53_795.jpg, C:\Users\Kriszace\Desktop\Data\IMG\left_2019_07_06_14_52_53_795.jpg, C:\Users\Kriszace\Desktop\Data\IMG\right_2019_07_06_14_52_53_795.jpg, 0, 0, 0, 7.961145E-05
